BJD_TDB,NormFlux,NormFluxError
2459749.83243,0.9965,0.0013
2459749.83332,1.0,0.0013
2459749.83399,0.9987,0.0013
2459749.83465,1.0003,0.0013
2459749.83531,0.9985,0.0013
2459749.83597,1.0021,0.0013
2459749.83663,0.9982,0.0013
2459749.83729,0.9973,0.0013
2459749.83795,0.9988,0.0013
2459749.83862,1.0003,0.0013
2459749.83928,1.0012,0.0013
2459749.83994,1.0026,0.0013
2459749.8406,1.0007,0.0013
2459749.84126,0.9961,0.0013
2459749.84192,1.0043,0.0013
2459749.84258,1.0024,0.0013
2459749.84324,1.0008,0.0013
2459749.84391,0.998,0.0013
2459749.84457,1.001,0.0013
2459749.84523,0.9977,0.0013
2459749.84589,1.0001,0.0013
2459749.84655,0.9981,0.0013
2459749.84721,1.0,0.0013
2459749.84788,1.0007,0.0013
2459749.84854,0.9977,0.0013
2459749.84922,1.002,0.0013
2459749.84991,0.9974,0.0013
2459749.85061,0.9994,0.0012
2459749.85133,1.0028,0.0012
2459749.85205,0.9957,0.0012
2459749.85279,1.0012,0.0012
2459749.85352,0.9959,0.0012
2459749.85426,0.9983,0.0012
2459749.85499,1.001,0.0012
2459749.85573,0.9991,0.0012
2459749.85646,0.9972,0.0012
2459749.8572,0.9988,0.0012
2459749.85793,0.9965,0.0012
2459749.85867,0.9968,0.0012
2459749.85941,0.9922,0.0012
2459749.86014,0.9958,0.0012
2459749.86087,0.9946,0.0012
2459749.86161,0.9928,0.0012
2459749.86234,0.9931,0.0012
2459749.86308,0.9901,0.0012
2459749.86455,0.987,0.0012
2459749.86528,0.988,0.0012
2459749.86602,0.9879,0.0012
2459749.86675,0.9865,0.0012
2459749.86749,0.988,0.0012
2459749.86822,0.987,0.0012
2459749.86896,0.9851,0.0012
2459749.8697,0.9853,0.0012
2459749.87043,0.9871,0.0012
2459749.87117,0.9875,0.0012
2459749.87191,0.9859,0.0012
2459749.87264,0.9852,0.0012
2459749.87338,0.9849,0.0012
2459749.87411,0.9874,0.0012
2459749.87485,0.9849,0.0012
2459749.87558,0.9859,0.0012
2459749.87632,0.987,0.0012
2459749.87705,0.9852,0.0012
2459749.87779,0.9857,0.0012
2459749.87852,0.9852,0.0012
2459749.87926,0.9827,0.0012
2459749.87999,0.9859,0.0012
2459749.88073,0.9822,0.0012
2459749.88146,0.9835,0.0012
2459749.8822,0.9838,0.0012
2459749.88293,0.9815,0.0012
2459749.88367,0.981,0.0012
2459749.8844,0.9846,0.0012
2459749.88514,0.9832,0.0012
2459749.88588,0.9849,0.0012
2459749.88661,0.984,0.0012
2459749.88735,0.9814,0.0012
2459749.88809,0.9827,0.0012
2459749.88882,0.9858,0.0012
2459749.88956,0.9825,0.0012
2459749.89029,0.9825,0.0012
2459749.89103,0.9826,0.0012
2459749.89176,0.9835,0.0012
2459749.8925,0.9866,0.0012
2459749.89323,0.9823,0.0012
2459749.89397,0.9832,0.0012
2459749.8947,0.9817,0.0012
2459749.89544,0.9817,0.0012
2459749.89617,0.9806,0.0011
2459749.89691,0.9841,0.0011
2459749.89764,0.9839,0.0012
2459749.89838,0.9832,0.0011
2459749.89911,0.9849,0.0011
2459749.89985,0.9825,0.0011
2459749.90059,0.9862,0.0011
2459749.90133,0.9821,0.0011
2459749.90206,0.9843,0.0011
2459749.9028,0.9798,0.0011
2459749.90353,0.9824,0.0011
2459749.90427,0.9859,0.0011
2459749.905,0.982,0.0011
2459749.90574,0.9824,0.0011
2459749.90647,0.984,0.0011
2459749.90721,0.9806,0.0011
2459749.90795,0.9809,0.0011
2459749.90868,0.983,0.0011
2459749.90941,0.9785,0.0011
2459749.91015,0.9838,0.0011
2459749.91088,0.9792,0.0011
2459749.91162,0.9831,0.0011
2459749.91235,0.9831,0.0011
2459749.91309,0.9792,0.0011
2459749.91382,0.9827,0.0011
2459749.91456,0.9812,0.0011
2459749.91529,0.978,0.0011
2459749.91603,0.9797,0.0011
2459749.91676,0.9811,0.0011
2459749.9175,0.9822,0.0011
2459749.91823,0.9815,0.0011
2459749.91897,0.9804,0.0011
2459749.9197,0.9826,0.0011
2459749.92044,0.9838,0.0011
2459749.92118,0.9839,0.0011
2459749.92191,0.9813,0.0011
2459749.92265,0.9819,0.0011
2459749.92338,0.9793,0.0011
2459749.92412,0.9841,0.0011
2459749.92485,0.9835,0.0011
2459749.92559,0.9825,0.0011
2459749.92632,0.9814,0.0011
2459749.92706,0.9825,0.0011
2459749.92779,0.9821,0.0011
2459749.92853,0.9813,0.0011
2459749.92926,0.9808,0.0011
2459749.93,0.9825,0.0011
2459749.93073,0.9799,0.0011
2459749.93147,0.9841,0.0011
2459749.9322,0.9824,0.0011
2459749.93294,0.9854,0.0011
2459749.93367,0.9865,0.0011
2459749.93441,0.9839,0.0011
2459749.93515,0.9842,0.0011
2459749.93588,0.983,0.0011
2459749.93662,0.9835,0.0011
2459749.93736,0.9833,0.0011
2459749.93809,0.9849,0.0011
2459749.93883,0.9852,0.0011
2459749.93956,0.9864,0.0011
2459749.9403,0.9887,0.0011
2459749.94103,0.9876,0.0011
2459749.94177,0.9919,0.0011
2459749.9425,0.996,0.0011
2459749.94324,0.9938,0.0011
2459749.94397,0.9926,0.0011
2459749.94471,0.9958,0.0011
2459749.94544,0.9945,0.0011
2459749.94691,0.9949,0.0011
2459749.94765,0.9955,0.0011
2459749.94838,0.9963,0.0011
2459749.94912,0.9932,0.0011
2459749.94985,0.9965,0.0011
2459749.95059,0.9955,0.0011
2459749.95132,0.9973,0.0011
2459749.95206,0.997,0.0011
2459749.95279,0.9971,0.0011
2459749.95354,0.9969,0.0011
2459749.95427,0.9937,0.0011
2459749.95501,0.9948,0.0011
2459749.95574,0.9937,0.0011
2459749.95648,0.9954,0.0011
2459749.95721,0.9965,0.0011
2459749.95795,0.9968,0.0011
2459749.95868,0.9929,0.0011
2459749.95942,0.9927,0.0011
2459749.96015,0.9971,0.0011
2459749.96089,0.9958,0.0011
2459749.96162,0.9963,0.0011
2459749.96236,0.9938,0.0011
2459749.96309,0.9954,0.0011
2459749.96383,0.9958,0.0011
2459749.96456,0.9969,0.0011
2459749.9653,0.997,0.0011
2459749.96603,0.9958,0.0011
2459749.96677,0.9946,0.0011
2459749.9675,0.9943,0.0011
2459749.96824,0.9947,0.0011
2459749.96898,0.9952,0.0011
2459749.96971,0.9956,0.0011
2459749.97044,0.9948,0.0011
