System,Time(BJD_TDB),RV(m/s),Ïƒ(m/s),Citation
WASP-103,2456444.7642,151.76,44.74,2014A&A...562L...3G
WASP-103,2456449.737093,-203.75,40.85,2014A&A...562L...3G
WASP-103,2456450.636282,-224.4,33.77,2014A&A...562L...3G
WASP-103,2456452.651124,-41.16,32.68,2014A&A...562L...3G
WASP-103,2456455.707315,290.87,53.48,2014A&A...562L...3G
WASP-103,2456457.737118,58.81,46.74,2014A&A...562L...3G
WASP-103,2456458.621691,179.26,40.58,2014A&A...562L...3G
WASP-103,2456459.713097,-151.92,36.95,2014A&A...562L...3G
WASP-103,2456460.744388,-211.73,58.41,2014A&A...562L...3G
WASP-103,2456473.673865,-235.61,60.01,2014A&A...562L...3G
WASP-103,2456486.575754,-245.35,47.05,2014A&A...562L...3G
WASP-103,2456505.616947,271.46,39.0,2014A&A...562L...3G
WASP-103,2456510.541228,-97.63,37.68,2014A&A...562L...3G
WASP-103,2456511.575278,-224.22,40.43,2014A&A...562L...3G
WASP-103,2456514.587545,-88.46,42.63,2014A&A...562L...3G
WASP-103,2456531.522854,281.17,76.26,2014A&A...562L...3G
WASP-103,2456532.559281,245.23,71.81,2014A&A...562L...3G
WASP-103,2456545.499433,245.74,41.2,2014A&A...562L...3G
WASP-103,2456800.15893,100.0,59.0,2016ApJ...823...29A
WASP-103,2456800.17411,101.0,45.0,2016ApJ...823...29A
WASP-103,2456800.18999,56.0,52.0,2016ApJ...823...29A
WASP-103,2456800.20246,-82.0,68.0,2016ApJ...823...29A
WASP-103,2456799.12368,141.0,52.0,2016ApJ...823...29A
WASP-103,2456800.22025,-147.0,58.0,2016ApJ...823...29A
WASP-103,2456799.13733,142.0,49.0,2016ApJ...823...29A
WASP-103,2456800.23273,-251.0,60.0,2016ApJ...823...29A
WASP-103,2456800.109,129.0,71.0,2016ApJ...823...29A
WASP-103,2456800.24521,-124.0,59.0,2016ApJ...823...29A
WASP-103,2456800.12148,78.0,60.0,2016ApJ...823...29A
WASP-103,2456800.25769,-146.0,74.0,2016ApJ...823...29A
WASP-103,2456800.13397,91.0,54.0,2016ApJ...823...29A
WASP-103,2456800.2719,-160.0,64.0,2016ApJ...823...29A
WASP-103,2456800.14645,73.0,52.0,2016ApJ...823...29A
WASP-103,2456537.506214,-318.81,129.3,2018MNRAS.474.2334D
WASP-103,2456837.661259,-79.11,57.63,2018MNRAS.474.2334D
WASP-103,2456852.650727,92.91,62.56,2018MNRAS.474.2334D
WASP-103,2456880.562742,296.07,70.13,2018MNRAS.474.2334D
WASP-103,2456920.487957,8.93,98.04,2018MNRAS.474.2334D
